Indices with the equal value of the average in the column
Column 1 | average = 0.492583: 
Column 4784 | average = 0.492497: 
Column 4785 | average = 0.490754: 54, 380, 491, 607, 739, 750, 759, 827, 875, 965, 1295, 1598, 1619, 1641, 1886, 1910, 2037, 2218, 2255, 2589, 2620, 2625, 2669, 2706, 2893, 2944, 3105, 3262, 3403, 3685, 3840, 3953, 3975, 4537, 4641, 4674, 4729, 4782, 4856, 4886, 4913, 5026, 5064, 5067, 5092, 5273, 5301, 5356, 5426, 5489, 5529, 5541, 5544, 5575, 5645, 5739, 5755, 5771, 5881, 5909, 5951, 5999, 6128, 6167, 6204, 6220, 6310, 6338, 6535, 6615, 6623, 6732, 6917, 7034, 7250, 7316, 7325, 7330, 7336, 7428, 7437, 7490, 7575, 7606, 7689, 7715, 7759, 7798, 7936, 8146, 8150, 8236, 8349, 8408, 8427, 8497, 8525, 8667, 8704, 8750, 8908, 9181, 9339, 9420, 9628, 9870, 
Column 4786 | average = 0.495561: 
Column 4787 | average = 0.493079: 
Column 4788 | average = 0.494610: 
Column 4789 | average = 0.493060: 
Column 4790 | average = 0.490204: 94, 102, 212, 313, 370, 404, 437, 584, 762, 783, 839, 841, 879, 997, 1029, 1075, 1123, 1233, 1256, 1570, 1685, 1776, 2019, 2184, 2279, 2401, 2728, 2897, 2951, 2963, 3126, 3145, 3289, 3324, 3710, 3733, 3829, 3952, 4069, 4173, 4218, 4480, 4798, 4860, 4862, 4978, 5507, 5706, 5736, 5826, 5868, 5948, 6160, 6165, 6289, 6301, 6346, 6348, 6389, 6575, 6610, 6769, 6860, 6896, 7010, 7011, 7059, 7099, 7132, 7241, 7415, 7609, 7799, 7884, 8025, 8034, 8263, 8265, 8270, 8326, 8398, 8425, 8772, 8773, 8932, 9042, 9114, 9148, 9170, 9522, 9638, 9701, 9715, 9770, 9872, 9948, 
Column 4791 | average = 0.493686: 
Column 4792 | average = 0.492886: 
Column 4793 | average = 0.493567: 
Column 4794 | average = 0.494596: 
Column 4795 | average = 0.491646: 
Column 4796 | average = 0.497629: 
Column 4797 | average = 0.495169: 
Column 4798 | average = 0.496620: 
Column 4799 | average = 0.497188: 
Column 4800 | average = 0.496903: 
Column 4801 | average = 0.496958: 
Column 4802 | average = 0.493882: 
Column 4803 | average = 0.496956: 
Column 4804 | average = 0.491632: 
Column 4805 | average = 0.491762: 
Column 4806 | average = 0.492162: 
Column 4807 | average = 0.498935: 
Column 4808 | average = 0.493934: 
Column 4809 | average = 0.494626: 
Column 4810 | average = 0.492342: 
Column 4811 | average = 0.492558: 
Column 4812 | average = 0.492662: 
Column 4813 | average = 0.497015: 
Column 4814 | average = 0.497552: 
Column 4815 | average = 0.498193: 
Column 4816 | average = 0.492705: 
Column 4817 | average = 0.498400: 
Column 4818 | average = 0.492643: 
Column 4819 | average = 0.496198: 
Column 4820 | average = 0.497295: 
Column 4821 | average = 0.494333: 
Column 4822 | average = 0.495458: 
Column 4823 | average = 0.488925: 
Column 4824 | average = 0.494789: 
Column 4825 | average = 0.491465: 
Column 4826 | average = 0.497688: 
Column 4827 | average = 0.493528: 
Column 4828 | average = 0.498854: 
Column 4829 | average = 0.495117: 
Column 4830 | average = 0.494630: 
Column 4831 | average = 0.494669: 
Column 4832 | average = 0.499437: 
Column 4833 | average = 0.491197: 
Column 4834 | average = 0.497190: 
Column 4835 | average = 0.496628: 
Column 4836 | average = 0.493188: 
Column 4837 | average = 0.496325: 
Column 4838 | average = 0.494691: 
Column 4839 | average = 0.492593: 
Column 4840 | average = 0.492552: 
Column 4841 | average = 0.497358: 
Column 4842 | average = 0.491709: 
Column 4843 | average = 0.494309: 
Column 4844 | average = 0.495480: 
Column 4845 | average = 0.499897: 
Column 4846 | average = 0.499633: 
Column 4847 | average = 0.491633: 
Column 4848 | average = 0.491925: 
Column 4849 | average = 0.496284: 
Column 4850 | average = 0.491234: 
Column 4851 | average = 0.492049: 
Column 4852 | average = 0.494855: 
Column 4853 | average = 0.494554: 
Column 4854 | average = 0.497635: 
Column 4855 | average = 0.495167: 
Column 4856 | average = 0.501152: 
Column 4857 | average = 0.497781: 
Column 4858 | average = 0.487389: 
Column 4859 | average = 0.496854: 
Column 4860 | average = 0.492541: 
Column 4861 | average = 0.496306: 
Column 4862 | average = 0.495722: 
Column 4863 | average = 0.500235: 71, 84, 121, 132, 176, 205, 239, 361, 614, 627, 636, 816, 861, 946, 950, 1092, 1124, 1433, 1434, 1437, 1479, 1491, 1523, 1547, 1629, 1630, 1770, 1787, 2190, 2417, 2420, 2446, 2605, 2615, 2647, 2814, 2958, 3364, 3371, 3449, 3505, 3511, 3593, 3598, 3902, 3979, 4006, 4048, 4130, 4131, 4152, 4213, 4387, 4421, 4422, 4719, 4754, 4803, 5176, 5494, 5517, 5642, 5701, 5882, 5888, 6063, 6136, 6357, 6415, 6474, 6632, 6790, 6853, 6950, 6994, 7024, 7029, 7503, 7834, 8095, 8233, 8253, 8370, 8420, 8451, 8517, 8824, 8882, 9139, 9213, 9241, 9295, 9360, 9695, 9719, 9736, 9754, 9755, 9852, 
Column 4864 | average = 0.496218: 
Column 4865 | average = 0.496997: 
Column 4866 | average = 0.491893: 
Column 4867 | average = 0.494728: 
Column 4868 | average = 0.498940: 
Column 4869 | average = 0.499873: 
Column 4870 | average = 0.496616: 
Column 4871 | average = 0.495174: 
Column 4872 | average = 0.498971: 
Column 4873 | average = 0.497319: 
Column 4874 | average = 0.488166: 
Column 4875 | average = 0.495529: 
Column 4876 | average = 0.496435: 
Column 4877 | average = 0.497580: 
Column 4878 | average = 0.491242: 
Column 4879 | average = 0.492708: 
Column 4880 | average = 0.494331: 
Column 4881 | average = 0.489919: 
Column 4882 | average = 0.489427: 
Column 4883 | average = 0.495547: 
Column 4884 | average = 0.494341: 
Column 4885 | average = 0.496401: 
Column 4886 | average = 0.494098: 
Column 4887 | average = 0.493700: 
Column 4888 | average = 0.494675: 
Column 4889 | average = 0.490385: 91, 151, 176, 314, 331, 427, 491, 536, 553, 643, 730, 928, 1460, 1577, 1736, 1951, 2099, 2209, 2210, 2318, 2322, 2325, 2495, 2632, 2723, 2819, 2928, 2930, 3071, 3190, 3282, 3328, 3435, 3596, 3623, 3635, 3670, 3674, 3801, 4131, 4260, 4284, 4304, 4341, 4482, 4745, 4974, 5141, 5346, 5668, 5747, 5781, 5999, 6069, 6278, 6280, 6292, 6371, 6566, 6700, 6854, 6908, 6952, 7044, 7060, 7079, 7274, 7498, 7518, 7669, 7782, 7819, 7889, 7892, 8045, 8064, 8167, 8378, 8444, 8494, 8518, 8522, 8755, 8843, 8889, 8939, 9086, 9087, 9216, 9458, 9493, 9540, 9678, 9691, 9706, 9731, 9780, 9786, 9868, 9969, 
Column 4890 | average = 0.495504: 
Column 4891 | average = 0.496392: 
Column 4892 | average = 0.494291: 
Column 4893 | average = 0.497013: 
Column 4894 | average = 0.497575: 
Column 4895 | average = 0.497509: 
Column 4896 | average = 0.495622: 
Column 4897 | average = 0.493067: 
Column 4898 | average = 0.499739: 
Column 4899 | average = 0.495529: 
Column 4900 | average = 0.495716: 
Column 4901 | average = 0.493395: 
Column 4902 | average = 0.494354: 
Column 4903 | average = 0.494857: 
Column 4904 | average = 0.493864: 
Column 4905 | average = 0.495654: 
Column 4906 | average = 0.495616: 
Column 4907 | average = 0.490588: 144, 160, 239, 280, 332, 553, 768, 833, 1005, 1092, 1126, 1284, 1533, 1539, 1588, 1598, 1645, 1646, 1704, 1939, 2044, 2070, 2207, 2299, 2338, 2365, 2445, 2639, 2642, 2684, 2722, 2758, 2963, 3048, 3146, 3148, 3161, 3645, 3664, 3708, 3772, 3820, 3956, 4093, 4124, 4195, 4436, 4699, 4727, 4798, 4812, 4963, 5022, 5234, 5315, 5339, 5644, 5698, 6040, 6120, 6140, 6184, 6463, 6518, 6739, 6798, 6838, 6866, 6913, 7002, 7003, 7013, 7120, 7147, 7259, 7328, 7348, 7381, 7553, 7557, 7750, 7811, 8017, 8151, 8186, 8265, 8415, 8486, 8545, 8587, 8616, 8704, 8812, 8922, 8974, 9152, 9168, 9189, 9308, 9392, 9514, 9527, 9612, 9656, 9989, 
Column 4908 | average = 0.495875: 
Column 4909 | average = 0.494616: 
Column 4910 | average = 0.493775: 
Column 4911 | average = 0.491018: 
Column 4912 | average = 0.490761: 55, 96, 115, 168, 235, 417, 419, 558, 620, 665, 768, 771, 875, 923, 1117, 1206, 1287, 1383, 1479, 1639, 1692, 1788, 1839, 1854, 2017, 2025, 2306, 2353, 2439, 2453, 2471, 2806, 2835, 2872, 2949, 3332, 3485, 3630, 3721, 3974, 4285, 4375, 4381, 4400, 4438, 4493, 4728, 4754, 4946, 5035, 5257, 5363, 5717, 5861, 5926, 6154, 6169, 6181, 6219, 6280, 6341, 6432, 6447, 6452, 6503, 6538, 6586, 6680, 6728, 7210, 7280, 7365, 7414, 7514, 7593, 7862, 7920, 7972, 8231, 8327, 8363, 8467, 8472, 8659, 8878, 8953, 9000, 9003, 9160, 9199, 9336, 9440, 9522, 9566, 9595, 9644, 9717, 9736, 9815, 9903, 
Column 4913 | average = 0.496595: 
Column 4914 | average = 0.498391: 
Column 4915 | average = 0.495951: 
Column 4916 | average = 0.494070: 
Column 4917 | average = 0.498298: 
Column 4918 | average = 0.494586: 
Column 4919 | average = 0.494540: 
Column 4920 | average = 0.495166: 
Column 4921 | average = 0.496182: 
Column 4922 | average = 0.500258: 13, 23, 108, 180, 281, 331, 385, 408, 625, 641, 675, 879, 1075, 1147, 1211, 1249, 1378, 1651, 1725, 2121, 2204, 2221, 2228, 2267, 2455, 2692, 2841, 2911, 2931, 3148, 3196, 3326, 3366, 3388, 3491, 3537, 3546, 3824, 3851, 4049, 4068, 4129, 4222, 4237, 4259, 4348, 4382, 4438, 4574, 4634, 4773, 4881, 4966, 5064, 5082, 5083, 5122, 5166, 5167, 5185, 5227, 5230, 5304, 5371, 5454, 5611, 5791, 5854, 6064, 6187, 6240, 6245, 6261, 6601, 6657, 6998, 7211, 7264, 7344, 7436, 7453, 7507, 7784, 7880, 7942, 7989, 8126, 8364, 8396, 8718, 8745, 8817, 8898, 9051, 9194, 9237, 9410, 9605, 9736, 9908, 
Column 4923 | average = 0.494539: 
Column 4924 | average = 0.498878: 
Column 4925 | average = 0.494508: 
Column 4926 | average = 0.494765: 
Column 4927 | average = 0.498260: 
Column 4928 | average = 0.498869: 
Column 4929 | average = 0.487917: 
Column 4930 | average = 0.495674: 
Column 4931 | average = 0.495856: 
Column 4932 | average = 0.495508: 
Column 4933 | average = 0.491175: 
Column 4934 | average = 0.491687: 
Column 4935 | average = 0.496810: 
Column 4936 | average = 0.490529: 60, 73, 310, 434, 486, 499, 646, 761, 786, 823, 827, 1088, 1102, 1244, 1477, 1612, 1904, 1937, 1969, 1986, 2010, 2054, 2083, 2148, 2279, 2288, 2449, 2472, 2567, 2876, 2928, 3039, 3048, 3359, 3594, 3795, 4063, 4120, 4305, 4713, 4912, 4969, 5053, 5092, 5206, 5229, 5246, 5248, 5313, 5433, 5513, 5654, 5781, 5793, 5796, 5936, 5947, 5950, 5986, 6162, 6279, 6325, 6352, 6355, 6512, 6802, 6809, 6971, 7021, 7556, 7573, 7791, 7989, 8070, 8141, 8152, 8254, 8321, 8328, 8515, 8589, 8648, 8707, 8742, 8781, 8891, 9004, 9009, 9285, 9460, 9465, 9635, 9725, 9859, 
Column 4937 | average = 0.497051: 
Column 4938 | average = 0.491880: 
Column 4939 | average = 0.495137: 
Column 4940 | average = 0.499325: 
Column 4941 | average = 0.490083: 15, 32, 178, 218, 358, 532, 544, 576, 741, 784, 825, 924, 1207, 1389, 1454, 1523, 1630, 1662, 1765, 1774, 1974, 2002, 2164, 2222, 2291, 2320, 2365, 2501, 2550, 2655, 2767, 2868, 2872, 3148, 3153, 3249, 3255, 3407, 3567, 3644, 3673, 3758, 3781, 3809, 3878, 3923, 3971, 4008, 4160, 4172, 4357, 4361, 4428, 4585, 4776, 4785, 4938, 5010, 5054, 5193, 5248, 5369, 5374, 5398, 5423, 5452, 5692, 5707, 5717, 5859, 5872, 6114, 6182, 6266, 6392, 6409, 6436, 6498, 6654, 6895, 6916, 6929, 6934, 6990, 7540, 7790, 7794, 7954, 7997, 8023, 8049, 8075, 8107, 8266, 8485, 8512, 8645, 8688, 8701, 8733, 8750, 8758, 8801, 8934, 9027, 9062, 9099, 9142, 9174, 9221, 9235, 9331, 9346, 9549, 9552, 9583, 9829, 9867, 9934, 
Column 4942 | average = 0.490920: 85, 120, 276, 456, 543, 653, 687, 718, 811, 854, 967, 973, 1005, 1226, 1310, 1592, 1672, 1791, 1894, 1934, 2064, 2222, 2365, 2478, 2482, 2644, 2646, 2730, 2794, 2832, 2868, 3054, 3077, 3565, 3660, 4038, 4313, 4357, 4441, 4457, 4527, 4540, 4571, 4782, 4859, 5008, 5178, 5273, 5394, 5473, 5592, 5729, 5900, 5901, 6061, 6066, 6087, 6264, 6410, 6698, 6811, 7056, 7100, 7448, 7515, 7873, 7889, 7956, 8016, 8384, 8459, 8661, 8683, 8915, 9072, 9269, 9276, 9432, 9631, 9651, 9723, 9756, 9761, 9901, 9998, 
Column 4943 | average = 0.497775: 
Column 4944 | average = 0.493276: 
Column 4945 | average = 0.497541: 
Column 4946 | average = 0.498504: 
Column 4947 | average = 0.497475: 
Column 4948 | average = 0.496259: 
Column 4949 | average = 0.498322: 
Column 4950 | average = 0.492982: 
Column 4951 | average = 0.495585: 
Column 4952 | average = 0.494029: 
Column 4953 | average = 0.492022: 
Column 4954 | average = 0.496243: 
Column 4955 | average = 0.490303: 112, 165, 174, 285, 542, 691, 751, 1104, 1165, 1384, 1410, 1439, 1460, 1486, 1617, 1633, 1644, 1647, 1815, 1995, 2319, 2399, 2504, 2680, 2700, 2836, 2993, 2999, 3260, 3301, 3371, 3470, 3602, 3675, 3780, 3898, 4033, 4088, 4121, 4432, 4646, 4809, 4880, 4968, 5052, 5193, 5211, 5314, 5351, 5471, 5593, 5666, 5779, 5832, 5998, 6246, 6372, 6450, 6535, 6544, 6740, 6810, 6816, 6895, 7029, 7199, 7313, 7413, 7546, 7742, 7743, 7749, 7964, 7978, 8004, 8111, 8128, 8142, 8262, 8331, 8336, 8436, 8499, 8518, 8913, 8953, 8987, 8996, 9054, 9163, 9176, 9177, 9279, 9352, 9507, 9526, 9583, 9805, 9824, 9910, 
Column 4956 | average = 0.493321: 
Column 4957 | average = 0.500587: 245, 466, 1012, 1133, 1171, 1258, 1259, 1370, 1453, 1474, 1509, 1554, 1572, 1667, 1678, 1737, 1822, 1899, 1915, 2046, 2112, 2146, 2147, 2310, 2422, 2599, 2642, 2826, 3122, 3206, 3209, 3265, 3269, 3380, 3388, 3520, 3572, 3630, 3654, 4151, 4159, 4236, 4547, 4580, 4630, 4635, 4712, 4725, 4784, 4796, 4865, 4948, 5212, 5307, 5350, 5555, 5565, 5632, 5637, 5659, 5684, 5698, 5731, 5770, 5873, 6007, 6129, 6236, 6253, 6481, 6549, 6600, 6814, 6860, 6885, 6955, 7040, 7174, 7335, 7422, 7469, 7475, 7500, 7504, 7523, 7612, 7670, 7739, 7834, 7897, 8069, 8385, 8471, 8520, 8577, 8687, 8811, 8854, 8931, 8973, 9072, 9214, 9271, 9820, 9826, 9917, 
Column 4958 | average = 0.496359: 
Column 4959 | average = 0.492453: 
Column 4960 | average = 0.493350: 
Column 4961 | average = 0.494906: 
Column 4962 | average = 0.497882: 
Column 4963 | average = 0.493807: 
Column 4964 | average = 0.490793: 33, 44, 102, 112, 162, 253, 324, 447, 684, 742, 765, 941, 1086, 1178, 1269, 1335, 1357, 1419, 1534, 1552, 1612, 1663, 1760, 1870, 1891, 2217, 2516, 2551, 2813, 2900, 3054, 3106, 3209, 3251, 3410, 3427, 3625, 3703, 3858, 3935, 3955, 4042, 4069, 4137, 4165, 4172, 4436, 4477, 4602, 4624, 4631, 4670, 4718, 4893, 4966, 5073, 5209, 5337, 5685, 5880, 6018, 6070, 6519, 6651, 6727, 6777, 6873, 7190, 7548, 7567, 7678, 7787, 7853, 7946, 8021, 8052, 8225, 8236, 8294, 8390, 8445, 8471, 8671, 8738, 8892, 8923, 9041, 9095, 9244, 9252, 9254, 9390, 9550, 9622, 9670, 9677, 9761, 9769, 9924, 
Column 4965 | average = 0.498730: 
Column 4966 | average = 0.495017: 
Column 4967 | average = 0.497288: 
Column 4968 | average = 0.490638: 90, 150, 266, 304, 313, 327, 538, 663, 935, 1036, 1157, 1215, 1338, 1374, 1382, 1386, 1405, 1411, 1493, 1521, 1544, 1598, 1660, 1724, 1867, 1973, 2070, 2553, 2686, 2847, 2867, 3072, 3281, 3324, 3364, 3634, 3729, 4035, 4055, 4104, 4271, 4383, 4391, 4575, 4605, 4711, 4734, 4769, 4791, 4911, 5250, 5316, 5782, 5853, 5892, 6048, 6049, 6183, 6210, 6282, 6383, 6628, 6702, 6890, 6909, 6949, 7025, 7342, 7583, 7951, 7982, 8152, 8229, 8246, 8254, 8296, 8340, 8460, 8598, 8713, 8723, 8757, 8870, 8901, 8906, 8980, 9032, 9201, 9217, 9268, 9389, 9492, 9536, 9861, 
Column 4969 | average = 0.495430: 
Column 4970 | average = 0.491759: 
Column 4971 | average = 0.495577: 
Column 4972 | average = 0.496068: 
Column 4973 | average = 0.494821: 
Column 4974 | average = 0.493453: 
Column 4975 | average = 0.491229: 
Column 4976 | average = 0.491345: 
Column 4977 | average = 0.494695: 
Column 4978 | average = 0.496256: 
Column 4979 | average = 0.493514: 
Column 4980 | average = 0.493755: 
Column 4981 | average = 0.492587: 
Column 4982 | average = 0.492400: 
Column 4983 | average = 0.487695: 
Column 4984 | average = 0.498281: 
Column 4985 | average = 0.497083: 
Column 4986 | average = 0.493774: 
Column 4987 | average = 0.498511: 
Column 4988 | average = 0.493375: 
Column 4989 | average = 0.498202: 
Column 4990 | average = 0.492610: 
Column 4991 | average = 0.493444: 
Column 4992 | average = 0.496974: 
Column 4993 | average = 0.498859: 
Column 4994 | average = 0.497505: 
Column 4995 | average = 0.491485: 
Column 4996 | average = 0.490427: 61, 89, 131, 422, 588, 674, 801, 835, 886, 926, 952, 1254, 1373, 1415, 1418, 1462, 1554, 1850, 1894, 1941, 1991, 2005, 2051, 2067, 2212, 2457, 2553, 2879, 2907, 2966, 3066, 3095, 3208, 3377, 3388, 3540, 3598, 3638, 3740, 3852, 4062, 4150, 4235, 4475, 4506, 4540, 4623, 4634, 4712, 5058, 5072, 5216, 5489, 5513, 5810, 6013, 6016, 6042, 6177, 6416, 6629, 6714, 6840, 6869, 6912, 6970, 7105, 7146, 7229, 7325, 7356, 7366, 7426, 7472, 7595, 7633, 7645, 7659, 7867, 7868, 8299, 8369, 8386, 8414, 8474, 8895, 8938, 9002, 9092, 9204, 9209, 9439, 9594, 9721, 9731, 9732, 9806, 9909, 
Column 4997 | average = 0.493669: 
Column 4998 | average = 0.488105: 
Column 4999 | average = 0.488274: 
Column 5000 | average = 0.490256: 19, 28, 206, 213, 228, 332, 708, 709, 880, 1051, 1146, 1222, 1241, 1257, 1305, 1316, 1330, 1409, 1529, 1648, 1734, 1752, 1767, 1912, 2002, 2257, 2375, 2400, 2440, 2654, 2743, 2746, 2846, 2975, 3161, 3270, 3841, 3849, 3903, 3963, 3986, 4036, 4061, 4254, 4257, 4448, 4803, 5263, 5320, 5427, 5435, 5502, 5656, 5770, 5823, 5870, 5876, 6015, 6141, 6246, 6644, 6732, 6795, 7074, 7191, 7307, 7387, 7397, 7461, 7508, 7625, 7681, 7779, 8088, 8205, 8237, 8344, 8379, 8483, 8637, 8642, 8651, 8666, 8810, 8827, 8842, 8925, 9261, 9352, 9380, 9430, 9956, 9986, 
Column 5001 | average = 0.495092: 
Column 5002 | average = 0.493824: 
Column 5003 | average = 0.497356: 
Column 5004 | average = 0.495584: 
Column 5005 | average = 0.491631: 
Column 5006 | average = 0.495253: 
Column 5007 | average = 0.495800: 
Column 5008 | average = 0.494864: 
Column 5009 | average = 0.494842: 
Column 5010 | average = 0.495862: 
Column 5011 | average = 0.492951: 
Column 5012 | average = 0.494460: 
Column 5013 | average = 0.492594: 
Column 5014 | average = 0.494960: 
Column 5015 | average = 0.492286: 
Column 5016 | average = 0.492502: 
Column 5017 | average = 0.495588: 
Column 5018 | average = 0.490960: 32, 200, 324, 423, 506, 752, 875, 1173, 1335, 1342, 1370, 1472, 1537, 1625, 1635, 1739, 1771, 1986, 2335, 2389, 2538, 2566, 2825, 2982, 3030, 3093, 3170, 3213, 3264, 3315, 3352, 3441, 3454, 3685, 3721, 4223, 4352, 4428, 4491, 4755, 4810, 4860, 5179, 5292, 5314, 5360, 5407, 5420, 5549, 5596, 5687, 5704, 5859, 5910, 5944, 6217, 6228, 6250, 6257, 6307, 6565, 6664, 6703, 6785, 6928, 6948, 6964, 7018, 7081, 7128, 7203, 7475, 7498, 7567, 7616, 7629, 7768, 8102, 8116, 8250, 8311, 8460, 8489, 8740, 8816, 8842, 8850, 8941, 9040, 9124, 9251, 9345, 9347, 9490, 9546, 9557, 9643, 9719, 9823, 9831, 9891, 
Column 5019 | average = 0.491703: 
Column 5020 | average = 0.494442: 
Column 5021 | average = 0.497171: 
Column 5022 | average = 0.490345: 185, 257, 341, 393, 410, 539, 728, 877, 935, 1007, 1064, 1438, 1765, 1918, 2244, 2407, 2501, 2888, 3035, 3147, 3474, 3676, 3703, 3806, 3848, 3881, 3948, 4036, 4114, 4213, 4239, 4379, 4508, 4554, 4666, 4690, 4781, 4888, 4914, 4917, 4985, 5111, 5232, 5308, 5409, 5618, 5627, 6099, 6146, 6260, 6413, 6495, 6621, 6651, 6659, 6749, 6771, 6811, 6817, 6973, 6999, 7006, 7311, 7631, 7683, 7755, 7761, 7928, 7968, 8019, 8118, 8196, 8272, 8284, 8290, 8316, 8398, 8539, 8714, 8891, 8935, 8962, 9127, 9434, 9436, 9597, 9687, 9713, 9848, 9980, 
Column 5023 | average = 0.492286: 
Column 5024 | average = 0.493362: 
Column 5025 | average = 0.499989: 
Column 5026 | average = 0.494612: 
Column 5027 | average = 0.501319: 
Column 5028 | average = 0.490917: 267, 298, 317, 352, 428, 429, 559, 683, 830, 978, 1083, 1189, 1197, 1213, 1243, 1263, 1304, 1397, 1410, 1430, 1823, 1885, 2260, 2358, 2399, 2516, 2736, 2838, 2878, 3014, 3039, 3070, 3092, 3108, 3209, 3313, 3390, 3422, 3478, 3613, 3631, 3654, 3678, 3680, 3954, 3974, 4229, 4299, 4424, 4705, 4739, 4845, 4981, 5204, 5261, 5326, 5543, 5568, 5602, 5805, 5912, 5959, 6019, 6048, 6147, 6296, 6341, 6351, 6429, 6487, 6782, 6837, 6998, 7027, 7035, 7315, 7503, 7601, 7639, 7681, 7746, 7885, 7911, 7990, 8325, 8366, 8454, 8542, 8552, 8709, 8892, 9032, 9431, 9848, 9859, 
Column 5029 | average = 0.491104: 
Column 5030 | average = 0.494468: 
Column 5031 | average = 0.489851: 
Column 5032 | average = 0.495940: 
Column 5033 | average = 0.492133: 
Column 5034 | average = 0.498285: 
Column 5035 | average = 0.497773: 
Column 5036 | average = 0.492732: 
Column 5037 | average = 0.494280: 
Column 5038 | average = 0.491928: 
Column 5039 | average = 0.495746: 
Column 5040 | average = 0.502411: 
Column 5041 | average = 0.494156: 
Column 5042 | average = 0.491736: 
Column 5043 | average = 0.499621: 
Column 5044 | average = 0.494689: 
Column 5045 | average = 0.496477: 
Column 5046 | average = 0.502907: 
Column 5047 | average = 0.491901: 
Column 5048 | average = 0.489022: 
Column 5049 | average = 0.495560: 
Column 5050 | average = 0.491771: 
Column 5051 | average = 0.493467: 
Column 5052 | average = 0.501775: 
Column 5053 | average = 0.493404: 
Column 5054 | average = 0.495703: 
Column 5055 | average = 0.499778: 
Column 5056 | average = 0.490036: 51, 229, 309, 440, 600, 647, 754, 855, 859, 885, 955, 1118, 1183, 1231, 1240, 1253, 1258, 1293, 1436, 1512, 1543, 1581, 1583, 1659, 2046, 2062, 2148, 2318, 2399, 2698, 2720, 2776, 2790, 2798, 2958, 3123, 3235, 3448, 3548, 3846, 3852, 3855, 3957, 4056, 4092, 4156, 4398, 4466, 4576, 4612, 4614, 4818, 4965, 5236, 5251, 5302, 5463, 5491, 5499, 5982, 6163, 6202, 6310, 6522, 6604, 6708, 6732, 6741, 7002, 7222, 7325, 7374, 7454, 7531, 7611, 7719, 7842, 7899, 8148, 8401, 8498, 8516, 8750, 9201, 9209, 9231, 9283, 9300, 9369, 9453, 9556, 9621, 9816, 9954, 
Column 5057 | average = 0.495832: 
Column 5058 | average = 0.495216: 
Column 5059 | average = 0.496789: 
Column 5060 | average = 0.493465: 
Column 5061 | average = 0.495607: 
Column 5062 | average = 0.491989: 
Column 5063 | average = 0.492753: 
Column 5064 | average = 0.491936: 
Column 5065 | average = 0.490866: 13, 86, 144, 239, 297, 359, 440, 448, 498, 576, 763, 1116, 1396, 1509, 1666, 1674, 1711, 1740, 1954, 2121, 2191, 2266, 2298, 2340, 2369, 2373, 2408, 2414, 2530, 2599, 2776, 2779, 2781, 2799, 2843, 2867, 3198, 3266, 3476, 3597, 3634, 3874, 4084, 4088, 4351, 4384, 4608, 4745, 4848, 5107, 5307, 5334, 5510, 5588, 5778, 5871, 5916, 5976, 6100, 6385, 6396, 6521, 6584, 6742, 6816, 6915, 6950, 7080, 7296, 7319, 7347, 7502, 7610, 7687, 7805, 7814, 7923, 7987, 8030, 8086, 8481, 8747, 8853, 8857, 8859, 8884, 8901, 9030, 9231, 9287, 9584, 9637, 9730, 9885, 
Column 5066 | average = 0.495001: 
Column 5067 | average = 0.496350: 
Column 5068 | average = 0.492304: 
Column 5069 | average = 0.496170: 
Column 5070 | average = 0.495236: 
Column 5071 | average = 0.493880: 
Column 5072 | average = 0.492426: 
Column 5073 | average = 0.494967: 
Column 5074 | average = 0.491836: 
Column 5075 | average = 0.494273: 
Column 5076 | average = 0.493029: 
Column 5077 | average = 0.495013: 
Column 5078 | average = 0.494107: 
Column 5079 | average = 0.495016: 
Column 5080 | average = 0.495304: 
Column 5081 | average = 0.495262: 
Column 5082 | average = 0.493543: 
Column 5083 | average = 0.496068: 
Column 5084 | average = 0.496336: 
Column 5085 | average = 0.494208: 
Column 5086 | average = 0.493887: 
Column 5087 | average = 0.495950: 
Column 5088 | average = 0.497011: 
Column 5089 | average = 0.499804: 
Column 5090 | average = 0.494997: 
Column 5091 | average = 0.498998: 
Column 5092 | average = 0.493621: 
Column 5093 | average = 0.497011: 
Column 5094 | average = 0.498319: 
Column 5095 | average = 0.496913: 
Column 5096 | average = 0.496257: 
Column 5097 | average = 0.495549: 
Column 5098 | average = 0.495366: 
Column 5099 | average = 0.495866: 
Column 5100 | average = 0.492182: 
Column 5101 | average = 0.492960: 
Column 5102 | average = 0.491898: 
Column 5103 | average = 0.492850: 
Column 5104 | average = 0.492870: 
Column 5105 | average = 0.496252: 
Column 5106 | average = 0.491973: 
Column 5107 | average = 0.494684: 
Column 5108 | average = 0.491661: 
Column 5109 | average = 0.493839: 
Column 5110 | average = 0.501824: 
Column 5111 | average = 0.492205: 
Column 5112 | average = 0.499702: 
Column 5113 | average = 0.495742: 
Column 5114 | average = 0.493504: 
